file,transcription,total_seconds
00010.mp3, já é uma sorte que você é poupado de um acidente,0.67328
00076.mp3," Esquadrão da Morte, Jogo do Bicho, Máfia do Apito, Neonazistas, Carecas do ABC, Vampiros.",0.285897
00083.mp3," ...tornal, temorexia nervosa, bulimia periódica, alimentar, compulsão, vigorexia, otorexia, distúrbios.",0.316535
00084.mp3, Duas mulheres e uma menina levantam com troféus.,0.185692
00092.mp3, Mesa de sinuca no bar.,0.143915
00103.mp3," Arquimedes, flutuação, escoamentos, máquinas hidráulicas, hidráulica, e o zogo aristotélico, vácuo.",0.307431
00105.mp3," Disfunção sexual, erétil, ejaculação precoce, vaginismo, dispareunia, hipersexualidade, anorragasmia, aversão ao sexo.",0.323806
00120.mp3," Somali, húngaro, cazaque, zulu, crioulo, haitiano, sueco, uigur, uigures.",0.271557
00158.mp3," O ser humano é naturalmente egoísta e altruísta, mas o capitalismo favorece o primeiro.",0.229599
00161.mp3, Todos os julgamentos dos órgãos do Poder Judiciário serão públicos.,0.21315
00184.mp3," Produção Agrária Nacional, particularmente daqueles artigos de consumo interno.",0.19657
00309.mp3," Rubredoxina, ferredoxina, citocromos, azurina, iões, sideróforos, emo, mioglobina, emocianina e meritrina.",0.31489
00326.mp3," Acoplamento nonium magnésio, clorobenzóato, nonium benzoico, acetilacetonato, hidrolisar, estirenos.",0.291042
00331.mp3, Existe alguma previsão de aumento do salário mínimo diante dessa inflação galopante?,0.216177
00379.mp3," Macro, Lotus Script, Corel Script, Quick Script, Sax Basic, Word Basic, WinRap, Delphi",0.241792
00411.mp3," Vapo, Juju, Amoitar, Armengado, Avechado, Azoado, Barril, Abestalhado.",0.258289
00415.mp3," Métrico decimal, poliedro, polígonos, poliedro estrelado, poligonal, segmento, elemento, segmentos, polígono circunscrito.",0.313659
00446.mp3, O executivo anunciou alguns passos que a empresa está tomando com uma redução.,0.200422
00484.mp3, Será necessário apresentar a relação das lendas que se querem escrever em valenciano.,0.205633
00496.mp3, O tratamento de pacientes foi realizado com sucesso.,0.174124
00591.mp3," O mesmo argumento é para a terceira inscrição, que reflete o legado do registrante.",0.232901
00642.mp3," Polipropileno, policloreto de vinila, quantificado em temperismo, fragmento, microplástico, macroplástico.",0.263777
00708.mp3," Mas se você fugir, faremos o mesmo.",0.161744
00710.mp3, Mas ela não tem objeção para alguém abraçar qualquer religião.,0.181347
00800.mp3," Reversíveis e irreversíveis, nebulosas, galáxias, gimbólico, uca, cúbicos, repouso, não dinâmico.",0.306755
00835.mp3," Em outras palavras, a imprensa consome no momento do empréstimo sobre seus recursos.",0.213712
01014.mp3, Plentear direito alheio em nome próprio salvo.,0.173514
01073.mp3, A memória do projeto de classificação fala de servidões renováveis.,0.192519
01193.mp3, Selecione produtos para preparar calorias e próteses relacionando as características ao objetivo estabelecido.,0.232883
01318.mp3," Amil, Bobs, Cavé, Granado, Friburgo, Cinemax, Cisper, Condor, Da Alegria.",0.27507
01329.mp3, A parte das despesas executadas fora deste período não está sujeita a subsídio.,0.214055
01344.mp3," Ornamentais, hematite, metalurgia, cobre, ligas, fusão, dureza, flexibilidade.",0.251977
01558.mp3," Na realidade, não é necessário usar outra fórmula, porque podemos usar a anterior.",0.209587
01567.mp3," Você deve ver que a pasta é consistente, embora, quando legal, tenha muita repercussão.",0.213128
01582.mp3," Agora se eu começo mais, você precisa de uma família.",0.170288
01688.mp3," Mais cedo ou mais tarde, eles descobriram como ler esses ieloglófinos.",0.220329
01724.mp3, procurador-geral sucumbência vencida decorrentes súmula extrato resumo compêndio reiteradas exeradas versando,0.273956
01725.mp3," Deformação, finitas, finitos, contorno, hidrostática, hidrodinâmica, massa volúmica, viscosidade, reológicas.",0.288192
01800.mp3," Acetóxia, acrilo, acilo, acetilo, hélio, berílio, boro, carbono, flúor, neônio, magnésio, argônio, potássio.",0.359409
01831.mp3, É comum os usuários confundirem software livre com software livre.,0.189179
01895.mp3," Nitroso, nitrila, isonitrila, sulfuradas, tiol, tiol éter, disulfeto, sulfóxido, sulfona, sulfonato.",0.312391
01962.mp3, Canhotinho,0.125515
01996.mp3," Em relação às vozes solistas, os trabalhos correspondem aos principais personagens da obra.",0.214115
02121.mp3, Nem a casa do Senhor sabe respeito.,0.155418
02270.mp3, Os contratos subscritos não se tornarão indefinidos.,0.18007
02334.mp3," Pinta, pintar a macaca, pioiento, pipoca, pirandelo, fininho, pirar, pirituba, pisante.",0.273842
02462.mp3, Dentro da unidade há grande contraste interno devido à heterogeneidade dos elementos.,0.208994
02845.mp3," Durante a exposição, o tribunal pode fazer quaisquer perguntas ou esclarecimentos que considere apropriado.",0.254906
02888.mp3," Evitem aprovar sentenças de cunho sexista, partidário, intolerante ou com erros gramaticais e ortográficos.",0.279747
02964.mp3, A Valencian Language Academy poderá verificar a qualquer momento os dados declarados pelos candidatos.,0.210518
03078.mp3, O objetivo dessa ordem é regular a estrutura dos programas didáticos na educação básica.,0.222223
03382.mp3," Se as cópias fornecidas não corresponderem, elas não serão consideradas.",0.210092
03383.mp3," As funções de conselho, supervisão e correção que os estatutos reservam à sua autoridade.",0.224769
03469.mp3," Chuveiro, toalha, torneira, pia, ruxa e sabonete.",0.220026
03489.mp3, Os orientaremos sobre maternidade e paternidade.,0.166021
03570.mp3, Eles são como pardais que enchem os espaços e gostam das flores da terra.,0.209222
03622.mp3, Uma mulher vestindo uma jaqueta preta está andando na calçada.,0.198443
03639.mp3," Educação Física, Biologia, Medicina, Psicologia, Direito, Ciências Sociais e Estatística",0.248028
03704.mp3," Atividades que promovem pesquisa, conservação e disseminação do patrimônio etnológico da Cataluña.",0.248205
03718.mp3, Dê a esta série atual uma classificação de 1.,0.171617
03735.mp3," Se você a tivesse visto três dias antes, teria sido infectada também.",0.188498
03745.mp3," Viver juntos significa viver juntos, compartilhar objetivos, ter um bom relacionamento.",0.202745
03902.mp3, Atribuir aos centros listados no anexo ou os auxílios econômicos que são indicados.,0.234879
04117.mp3, A água que coleta as partes externas externas também é derramada no solo adjacente.,0.208986
04154.mp3, Boletim de instalação elétrica com validade anual da parada ou atração se aplicável.,0.22502
04162.mp3, Houver necessidade de realização de diligência ou de complementação da instrução.,0.199642
04243.mp3," Integral, Interpolação, Consecutivos, Sucessão, Intersecção, Conjuntos, Propriedades, Intervalo, Inverso.",0.287804
04319.mp3, Juatuba,0.122267
04596.mp3," O documento ambiental apresenta duas alternativas, a escolhida e a alternativa zero.",0.217187
04674.mp3," Logo, porém, o círculo de novas ideias é mais ou menos roteado.",0.220293
04684.mp3, Ele fez tanto ghostwriting que ele começou a se sentir como um fantasma também.,0.19514
04757.mp3," Portanto, uma forte política linguística seria aceitável para a maioria da população.",0.206775
05217.mp3," Em qualquer caso, a junta na assembleia, por unanimidade, pode determinar outro critério.",0.214906
05299.mp3, Inicialize mais rápido.,0.136733
05384.mp3, A instituição que é completamente inalterada e impessoal é o fósforo.,0.209836
05641.mp3," Antes de São Martim vi pão e vinho, depois do verão, fome e frio.",0.22019
05722.mp3," Galáico, português, bética, flexiva, reconquista, ilha das flores, lácio, soneto, pluralismo.",0.271048
05788.mp3," Permutações, perpendicular, perpendiculares, interceptam, peso, perímetro, área, volume, pictograma, pirâmide.",0.269887
05855.mp3, A Soft Catalá contribui para a tradução em catalão de materiais no site da campanha.,0.221326
05879.mp3, pó de anjo valete de maçã barres pênis brócolos bolos turquia fria calão,0.252949
05880.mp3," Pessonha, Pictograma, Entropia, Chialantes, Microfiltração, Biodegradação, Herbicidase, Extremophilus.",0.306428
06198.mp3," Caçada, fundamentado, agissada, taxa, contribuição, testes de ver, situação, simultânea, sucessivamente, patrocina.",0.287059
06201.mp3," Repetite cédulas à força pela disponibilidade zumbido, distação, baque, media-vida, cardiotóxicos.",0.27038
06257.mp3," Todo brasileiro, em situação de vulnerabilidade social, terá direito a uma renda básica familiar.",0.223736
06344.mp3, O ponto é que dura no tempo.,0.146473
06502.mp3," Portanto, é necessário estabelecer medidas corretivas que permitam mitigar esse possível impacto.",0.223497
06698.mp3, qualquer outro que fosse legalmente possível e que não tivesse um caráter comum.,0.201161
07009.mp3," Da mesma forma, uma patente pode impedir que concorrentes desenvolva produtos similares.",0.222988
07499.mp3, Reconhece as disfunções comportamentais analisando os princípios básicos da psicologia geral.,0.239485
07692.mp3," Ele geralmente recebe visitas de intérpretes, diretores e produtores de renome internacional.",0.230396
07702.mp3," Encefalopatia bilirubínica, endométrio, endometriose, eritrócitos, escara, hemácias, escarlatina, fêmur.",0.328842
07960.mp3, A forma de prestação será competição por mérito reservada aos oficiais nacionais qualificados.,0.228322
08254.mp3, Aceso. Todos saudam? Frescos? Piedosos? Alegres? Livres?,0.223668
08278.mp3, 1. Menininha. Pulos. Corda. Através. Lote de estacionamento.,0.225068
08606.mp3," Quadrilátero, mágico, quadrante, delimitada, quadrantes, quadricelular, quadrido, quadriênio, quadrilátero.",0.315367
08771.mp3, Gerencie as configurações de segurança do usuário e supervisione-o.,0.198759
09190.mp3, deliberação publicação veredito abstenção costumes aplicado observância discricionária,0.206306
09196.mp3," Agorofobia, pânico, generalizada, social, obsessivo compulsivo, reação aguda, adaptação, dissociativo.",0.262294
09345.mp3," Eletrobras, Furnas, Embellese, Embratel, Enel, Eneba, Eberest, Farmoquímica, Fiago, Forci, Petrópolis, Severiano, Guanabara.",0.374953
09407.mp3," Crocodilagem, crocô, curriola, dança de rato, dar milho, pinote, vacilar, plá, picote, uma banda.",0.298322
