file,transcription,total_seconds
00010.mp3,Já é uma sorte você é poupado de um acidente.,17
00076.mp3,"Esquadrão da Morte, Jogo do Bicho, Máfia do Apito, Neonazistas, Carecas do ABC, Vampiros,",17
00083.mp3,"Pernalte, anorexia nervosa, bulimia peróidica, alimentar, compulsão, vigorexia, otorexia e estúrbios.",21
00084.mp3,Duas mulheres e uma menina levantam com troféus.,15
00092.mp3,Mesmo de sinuca no parque.,21
00103.mp3,"Arquimedes, flutuação, esformentos, máquinas hidráulicas, hidráulica, ilusão, aristotélico, vácuo.",31
00105.mp3,"Disfunção sexual, herétil, ejaculação precoce, vaginismo, disparonia, hipersexualidade, anoragasmia, abrasão ao sexo.",36
00120.mp3,"Somali, Úngaro, Kazak, Zulu, Criolo, Aitiano, Sueco, Uigur, Uiguris.",22
00158.mp3,"O ser humano é naturalmente egoísta e altruísta, mas o capitalismo favorece o primeiro.",20
00161.mp3,Todos os julgamentos dos órgãos do poder judiciário serão públicos. Obrigado.,30
00184.mp3,"produção agrária nacional, particularmente daqueles artigos de consumo interno.",19
00309.mp3,"rubredoxina, ferredoxina, citocromos, azurina, ion, sideróforos, emo, mioglubina, emocianina, emeritrina.",24
00326.mp3,acoplamento nonium magnésio cloro benzoato nonium benzoico acetilacetonato hidrolisar estirenos,24
00331.mp3,Existe alguma previsão de aumento do salário mínimo diante dessa infração galopante?,32
00379.mp3,"macro, loto script, coreo script, quick script, sax basic, word basic, queen rap, delphi.",23
00411.mp3,"Vapo, Juju, Amoitar, Armengado, Avexado, Azoado, Barril, Abestalhado.",22
00415.mp3,"Métrico decimal, poliedro, polígonos, poliedro estrelado, poligonal, segmento, elementos, segmentos, polígonos, psicoscrito.",38
00446.mp3,O executivo anunciou alguns passos que a empresa está tomando com uma redução.,18
00484.mp3,Será necessário apresentar a relação das lendas que se querem escrever em valenciano.,21
00496.mp3,O tratamento de pacientes foi realizado com sucesso.,17
00591.mp3,"O mesmo argumento é para a terceira inscrição, que reflete o legado do registrante.",19
00642.mp3,"polipropileno, polichlorito de vinila quantificado em teperismo fragmento, microplástica, macroplástica.",24
00708.mp3,"Mas se você fugir, faremos o mesmo.",18
00710.mp3,mas ela não tem objeção para alguém abraçar qualquer religião.,21
00800.mp3,reversíveis e reversíveis nebulosas galáxias de invólucos uca cúbicos repouso não dinâmico,20
00835.mp3,"Em outras palavras, a empresa consome no momento do empréstimo sobre seus recursos.",19
01014.mp3,Plentear direito a lei o nome próprio salvo.,17
01073.mp3,A memória do projeto de classificação fala de servidões renováveis.,15
01193.mp3,Selecione produtos para preparar calorias e próteses relacionando as características ao objetivo estabelecido.,20
01318.mp3,"Amil, Bobz, Cavet, Granado, Friburgo, Cinemax, Sisper, Condor, Da Alegria.",19
01329.mp3,A parte das despesas executadas fora deste período não está sujeita a subsídio.,19
01344.mp3,"ornamentais, hematite, metallurgia, cobre, ligas, fusão, dureza, flexibilidade.",32
01558.mp3,"Na realidade, não é necessário usar outra fórmula, porque podemos usar a anterior.",18
01567.mp3,"Você deve ver que a pasta é consistente, embora quando legal tenha muita repercussão.",18
01582.mp3,"Para ser um comércio, você precisa de uma família.",19
01688.mp3,"Mais cedo ou mais tarde, eles descobriram como ler esses hielo-grofias.",22
01724.mp3,"Procurador-geral, sucumbência, vencida, decorrentes, súmula, extrato, resumo, compêndio, reiteradas, iseradas, versando.",18
01725.mp3,"do formação. hidrodinâmica, massa volúmica, viscosidade, reológicas.",29
01800.mp3,"acetóxia, acrílo, acilo, acetilo, hélio, beryllium, boro, carbono, flúor, neônio, magnésio, argônio, potássio.",25
01831.mp3,É comum os usuários confundirem software livre com software livre.,17
01895.mp3,"nitroso, nitrila, isonitrila, sulforadas, tiol, tioueter, disulfeto, sulfóxido, sulfona, sulfonato.",24
01962.mp3,Canhotinho.,19
01996.mp3,"Em relação às vozes solistas, os trabalhos correspondem aos principais personagens da obra.",19
