path,sentence,duration,sr
data/audio/00010.mp3,Já é uma sorte que você é poupado de um acidente.,9.648,48000
data/audio/00076.mp3,"esquadrão da morte, jogo do bicho, máfia do apito, neonazistas, carecas do abc, vampiros",9.756,48000
data/audio/00083.mp3,"burnout, anorexia nervosa, bulimia, periódica, alimentar, compulsão, vigorexia, ortorexia, distúrbios",9.972,48000
data/audio/00084.mp3,Duas mulheres e uma menina levantam com troféus.,10.176,48000
data/audio/00092.mp3,Mesa de sinuca no bar,10.62,48000
data/audio/00103.mp3,"Arquimedes, flutuação, escoamentos, máquinas hidráulicas, hidráulica, revisou, aristotélico, vácuo",10.296,48000
data/audio/00105.mp3,"disfunção sexual, erétil, ejaculação precoce, vaginismo, dispareunia, hipersexualidade, anorgasmia, aversão ao sexo",9.936,48000
data/audio/00120.mp3,"Somali, húngaro, cazaque, zulu, crioulo haitiano, sueco, uigur, uigures",9.648,48000
data/audio/00158.mp3,"O ser humano é naturalmente egoísta e altruísta, mas o capitalismo favorece o primeiro",10.188,48000
data/audio/00161.mp3,Todos os julgamentos dos órgãos do Poder Judiciário serão públicos,10.008,48000
data/audio/00184.mp3,"produção agrária nacional, particularmente daqueles artigos de consumo interno",10.26,48000
data/audio/00309.mp3,"rubredoxina, ferredoxina, citocromos, azurina, iões, sideróforos, hemo, mioglobina, hemocianina, hemeritrina",10.188,48000
data/audio/00326.mp3,"acoplamento, nonilmagnésio, clorobenzoato, nonilbenzóico, acetilacetonato, hidrolisar, estirenos",10.08,48000
data/audio/00331.mp3,Existe alguma previsão de aumento do salário mínimo diante dessa inflação galopante?,10.008,48000
data/audio/00379.mp3,"macro, lotusscript, corelscript, quickscript, saxbasic, wordbasic, winwrap, delphi",10.116,48000
data/audio/00411.mp3,"vapo, juju, amoitar, armengado, avexado, azuado, barril, abestalhado",9.936,48000
data/audio/00415.mp3,"métrico decimal, poliedro, polígonos, poliedro estrelado, poligonal, segmento, elemento, segmentos, polígono, circunscrito",9.684,48000
data/audio/00446.mp3,O executivo anunciou alguns passos que a empresa está tomando rumo à redução,10.044,48000
data/audio/00484.mp3,Será necessário apresentar a relação das lendas que se querem escrever em valenciano.,10.116,48000
data/audio/00496.mp3,O tratamento de pacientes foi realizado com sucesso.,10.104,48000
data/audio/00591.mp3,"O mesmo argumento é para a terceira inscrição, que reflete o legado do registrante.",9.864,48000
data/audio/00642.mp3,"polipropileno, policloreto de vinila, quantificar, intemperismo, fragmente, microplástica, macroplástica",10.368,48000
data/audio/00708.mp3,"Mas se você fugir, faremos o mesmo.",10.368,48000
data/audio/00710.mp3,Mas ela não tem objeção para alguém abraçar qualquer religião.,9.72,48000
data/audio/00800.mp3,"reversíveis, irreversíveis, nebulosas, galáxias, invólucro, oca, cúbicos, repouso, não-dinâmico",10.26,48000
data/audio/00835.mp3,"Em outras palavras, a empresa consome no momento do empréstimo sobre seus recursos.",10.188,48000
data/audio/01014.mp3,"pleitear direito alheio em nome próprio, salvo",9.648,48000
data/audio/01073.mp3,A memória do projeto de classificação fala de servidões renováveis.,10.512,48000
data/audio/01193.mp3,Selecione produtos para preparar calorias e próteses relacionando as características ao objetivo estabelecido.,10.26,48000
data/audio/01318.mp3,"Amil, Bob's, Cavé, Granado, Friburgo, Cinemaxx, Cisper, Condor, D'Alegria",10.476,48000
data/audio/01329.mp3,A parte das despesas executadas fora deste período não está sujeita a subsídio.,10.08,48000
data/audio/01344.mp3,"ornamentais, hematite, metalurgia, cobre, ligas, fusão, dureza, flexibilidade",9.648,48000
data/audio/01558.mp3,"Na realidade, não é necessário usar outra fórmula, porque podemos usar a anterior.",9.756,48000
data/audio/01567.mp3,"Você deve ver que a pasta é consistente, embora, quando legal, tenha muita repercussão.",10.188,48000
data/audio/01582.mp3,"Para ser um comerciante, você precisa de uma família.",10.116,48000
data/audio/01688.mp3,"Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.",10.272,48000
data/audio/01724.mp3,"procurador-geral, sucumbência, vencida, decorrentes, súmula, extrato, resumo, compêndio, reiteradas, exaradas, versando",10.44,48000
data/audio/01725.mp3,"deformação, finitas, finitos, contorno, hidrostática, hidrodinâmica, massa volúmica, viscosidade, reológicas",9.684,48000
data/audio/01800.mp3,"acetóxi, acrilo, acilo, acetilo, hélio, berílio, boro, carbono, flúor, neônio, magnésio, argônio, potássio",9.828,48000
data/audio/01831.mp3,É comum os usuários confundirem software livre com software livre.,10.56,48000
data/audio/01895.mp3,"nitroso, nitrila, isonitrila, sulfuradas, tiol, tioéter, dissulfeto, sulfóxido, sulfona, sulfonato",10.08,48000
data/audio/01962.mp3,Canhotinho,9.936,48000
data/audio/01996.mp3,"Em relação às vozes solistas, os trabalhos correspondem aos principais personagens da obra.",9.684,48000
data/audio/02121.mp3,Nem a casa do Senhor sabe respeito.,10.44,48000
data/audio/02270.mp3,Os contratos subscritos não se tornarão indefinidos.,10.008,48000
data/audio/02334.mp3,"pinta, pintar a macaca, pioiento, pipoca, pirandelo, fininho, pirar, pirituba, pisante",10.476,48000
data/audio/02462.mp3,"Dentro da unidade há grande contraste interno, devido à heterogeneidade dos elementos.",10.008,48000
data/audio/02845.mp3,"Durante a exposição, o tribunal pode fazer quaisquer perguntas ou esclarecimentos que considere apropriados.",10.104,48000
